Category,Surveillance Type,Contractor Name,Component - Funding,2026 Obligations,2025 Obligations,2024 Obligations,2023 Obligations,2022 Obligations,2021 Obligations (after Jan. 19)
Type of Data Purchase,Social media monitoring and open-source intelligence,ShadowDragon,ICE,,90000,1200000,1200000,87000,602000
Type of Data Purchase,Social media monitoring and open-source intelligence,Authentic8,"ICE, USSS, S&T",5000,287000,474000,591000,534000,519000
Type of Data Purchase,Social media monitoring and open-source intelligence,OSINT Combine,"ICE, CBP, USSS",,1700000,245000,173000,,
Type of Data Purchase,Social media monitoring and open-source intelligence,Seerist,CBP,,,,,718000,
Type of Data Purchase,Social media monitoring and open-source intelligence,GeoSpark Analytics,CBP,,,,,,661000
Type of Data Purchase,Social media monitoring and open-source intelligence,Giant Oak,ICE,,,,,138000,348000
Type of Data Purchase,Commercial data (not including real-time location data),Relx (Lexis Nexis),"ICE, CBP, USCIS, FPS",6200000,7400000,8700000,9500000,7500000,4000000
Type of Data Purchase,Commercial data (not including real-time location data),Thomson Reuters,"ICE, Chief Information Officer",,7200000,6500000,6300000,10100000,1400000
Type of Data Purchase,Commercial data (not including real-time location data),Whooster,"ICE, USSS",100000,344000,639000,585000,71000,71000
Type of Data Purchase,Commercial data (not including real-time location data),Team Cymru,ICE,,130000,130000,,,295000
Type of Data Purchase,Commercial data (not including real-time location data),Transunion,USSS,52000,,,,,
Type of Data Purchase,Skip tracing,Capgemini,ICE,,12200000,,,,
Type of Data Purchase,Skip tracing,SOS International,ICE,,8600000,,,,
Type of Data Purchase,Skip tracing,Global Recovery Group,ICE,7200000,1300000,,,,
Type of Data Purchase,Skip tracing,Bluehawk,ICE,,2700000,,,,
Type of Data Purchase,Skip tracing,GEO Group,ICE,,1600000,,,,
Type of Data Purchase,Skip tracing,Constellis,ICE,,1500000,,,,
Type of Data Purchase,Skip tracing,MVM,ICE,1400000,,,,,
Type of Data Purchase,Skip tracing,National Protective Services,ICE,,910000,,,,
Type of Data Purchase,Skip tracing,Constellation,ICE,,767000,,,,
Type of Data Purchase,Skip tracing,Government Support Services,ICE,,741000,,,,
Type of Data Purchase,Skip tracing,AI Solutions 87,ICE,,637000,,,,
Type of Data Purchase,Skip tracing,Gravitas Professional Services,ICE,,428000,,,,
Type of Data Purchase,Skip tracing,Fraud Inc,ICE,,348000,,,,
Type of Data Purchase,Skip tracing,Response AI Solutions,ICE,,128000,,,,
Type of Data Purchase,Skip tracing,Enprovera,ICE,,35000,,,,
Type of Data Analysis Tool,"Investigative Case Management (ICM), FALCON, Immigration OS, & Enhanced Leads Identification and Targeting for Enforcement (ELITE)",Palantir,ICE,11400000,81100000,20400000,20500000,27000000,24200000
Type of Data Analysis Tool,RAVEn,Booz Allen Hamilton,ICE,,12200000,15500000,18300000,12200000,11600000
Type of Data Analysis Tool,RAVEn,Acuity,ICE,,1500000,12600000,15800000,20900000,
Type of Data Analysis Tool,RAVEn,Alethix,ICE,,,16000000,12700000,11500000,6500000
Type of Data Analysis Tool,RAVEn,ESRI,ICE,,,,,290000,
Type of Data Analysis Tool,RAVEn,Panamerica Computers,ICE,,,,,,95000
Type of Data Analysis Tool,Project SAFEHAVEN,Edge Ops,ICE,12200000,,,,,
Type of Data Analysis Tool,LeadTrac,Strategic Operations Solutions,ICE,,462000,911000,907000,898000,1300000
Type of Data Analysis Tool,Other data analysis,Palantir,"Chief Information Officer, ICE, USSS",104900000,,,,,
Type of Data Analysis Tool,Other data analysis,Deloitte,ICE,,2100000,2000000,2700000,936000,1400000
Type of Data Analysis Tool,Other data analysis,Relx (Lexis Nexis),USSS,5100000,,,,,
Type of Data Analysis Tool,Other data analysis,Thomson Reuters,CBP,,,,,1100000,1100000
Type of Data Analysis Tool,Other data analysis,AT&T,ICE,,2100000,,,,
Type of Data Analysis Tool,Other data analysis,Hyland,USCIS,1200000,,,,,
