Category,Surveillance Type,link type,label,url,italic,group
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","404 Media, ICE's Plan to Let Cops Around the Country Scan Faces to Verify Immigration Status (June 2026)",https://www.404media.co/ices-plan-to-let-cops-around-the-country-scan-faces-to-verify-immigration-status/,ITALICS,
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","Wired, ICE and CBP's Face-Recognition App Can't Actually Verify Who People Are (February 2026)",https://www.wired.com/story/cbp-ice-dhs-mobile-fortify-face-recognition-verify-identity/,ITALICS,
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","The New York Times, How ICE Already Knows Who Minneapolis Protesters Are (January 2026)",https://www.nytimes.com/2026/01/30/technology/tech-ice-facial-recognition-palantir.html,ITALICS,
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","404 Media, ICE's Facial Recognition App Misidentified a Woman. Twice (January 2026)",https://www.404media.co/ices-facial-recognition-app-misidentified-a-woman-twice/,ITALICS,
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","404 Media, You Can't Refuse to Be Scanned by ICE's Facial Recognition App, DHS Document Says (October 2025)",https://www.404media.co/you-cant-refuse-to-be-scanned-by-ices-facial-recognition-app-dhs-document-says/,ITALICS,
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","404 Media, Inside ICE's Supercharged Facial Recognition App of 200 Million Images (July 2025)",https://www.404media.co/inside-ices-supercharged-facial-recognition-app-of-200-million-images/,ITALICS,
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","The New York Times, The Secretive Company That Might End Privacy as We Know It (January 2020)",https://www.nytimes.com/2020/01/18/technology/clearview-privacy-facial-recognition.html,ITALICS,
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","Georgetown Law Center on Privacy and Technology, Garbage In, Garbage Out: Face Recognition on Flawed Data (May 2019)",https://www.flawedfacedata.com/,ITALICS,
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,DHS AI Use Case Inventory (January 2026):,https://www.dhs.gov/ai/use-case-inventory,,heading
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,CBP Mobile Fortify (DHS-2731),,,bullet
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,ICE Mobile Fortify (DHS-2577),,,bullet
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,USSS Criminal Investigations (DHS-415),,,bullet
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,CBP Facial Recognition for National Security and Transnational Criminal Organizations (DHS-2729),,,bullet
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,CBP Unified Processing/Mobile Intake (DHS-398),,,bullet
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,ICE Facial Recognition for Locating Vulnerable Populations (DHS-2457),,,bullet
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,ICE Facial Recognition for National Security Investigations (DHS-2458),,,bullet
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,ICE Facial Recognition for Investigations of Transnational Criminal Organizations (DHS-2459),,,bullet
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,ICE Facial Recognition for Investigations of Child Sexual Exploitation and Abuse (DHS-362),,,bullet
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,ICE PTA: ICE Task Force Module Mobile App (September 2025),https://www.documentcloud.org/documents/28200283-ice-task-force-module-app/,,
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,CBP PTA: Mobile Fortify Mobile Application for ICE Enforcement and Removal Operations (February 2025),https://www.documentcloud.org/documents/26209262-mobile-fortify-pta/,,
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,USSS PIA-033: USSS Use of Facial Recognition Technology (September 2024),https://www.dhs.gov/sites/default/files/2024-09/24_0912_privacy-pia-usss033-facialrecognition_0.pdf,,
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,DHS Directive 026-11: Use of Face Recognition and Face Capture Technologies (September 2023; now removed from DHS website),https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/230913mgmt026-11-use-face-recognition-face-capture-technologies.pdf,,
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,HSI Policy Memo: Use of and Access to Third-Party Facial Recognition Services (January 2021),https://www.ice.gov/doclib/foia/policy/memo_UseAccessThirdPartyFacialRecogServices_01.15.2021.pdf,,
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,ICE PIA-054: Use of Facial Recognition Services (May 2020),https://www.dhs.gov/sites/default/files/publications/privacy-pia-ice-frs-054-may2020.pdf,,
Type of Biometric Collection or Technology,Facial recognition,DHS Policies and Other Resources,ICE Policy 16001.2: Investigating the Potential U.S. Citizenship of Individuals Encountered by ICE (November 2015),https://www.ice.gov/doclib/foia/policy/16001.2_InvPotUSCitIndividualsEncounteredByICE.pdf,,
Type of Biometric Collection or Technology,Iris scans,"Further Information on Capabilities, Uses, and Abuses","NPR, ICE Is Spending Millions of Dollars on Iris Scanners, Expanding Its Arsenal of Tech Tools (May 2026)",https://www.npr.org/2026/05/27/nx-s1-5822429/ice-buys-iris-scanners-tech-tools,,
Type of Biometric Collection or Technology,Iris scans,"Further Information on Capabilities, Uses, and Abuses","404 Media, ICE Is Buying Mobile Iris Scanning Tech for Its Deportation Arm (August 2025)",https://www.404media.co/ice-is-buying-mobile-iris-scanning-tech-for-its-deportation-arm/,ITALICS,
Type of Biometric Collection or Technology,Iris scans,"Further Information on Capabilities, Uses, and Abuses","Policing Project, Policing Project Five-Minute Primers: Iris Recognition (September 2019)",https://www.policingproject.org/news-main/2019/9/20/policing-project-five-minute-primers-iris-recognition,,
Type of Biometric Collection or Technology,Iris scans,DHS Policies and Other Resources,S&T PIA-019: Iris and Face Technology Demonstration and Evaluation (August 2010),https://www.dhs.gov/sites/default/files/2026-02/privacy_pia_st_iftde.pdf,,
Type of Biometric Collection or Technology,Fingerprints,"Further Information on Capabilities, Uses, and Abuses","BiometricUpdate.com, ICE to Award Contract to Field More NEC Fingerprint Capture Devices (September 2024)",https://www.biometricupdate.com/202409/ice-to-award-contract-to-field-more-nec-fingerprint-capture-devices,,
Type of Biometric Collection or Technology,Fingerprints,"Further Information on Capabilities, Uses, and Abuses","Mijente and Just Futures Law, ICE's EDDIE Program: How ICE Uses Biometric Scanner Tech to Ramp Up Raids (November 2020)",https://static1.squarespace.com/static/62c3198c117dd661bd99eb3a/t/62deb7755f18b67d47071642/1658763132592/EDDIE-report-PDF-revised-final.pdf,ITALICS,
Type of Biometric Collection or Technology,Fingerprints,DHS Policies and Other Resources,USSS PIA-017: Forensic Services Division System (May 2024),https://www.dhs.gov/publication/dhsussspia-017-forensic-services-division-system,,
Type of Biometric Collection or Technology,Fingerprints,DHS Policies and Other Resources,"ICE PIA-015(j): Enforcement Integrated Database  EAGLE, EDDIE, and DAVID (May 2019)",https://www.dhs.gov/sites/default/files/publications/privacy-pia-ice-eid-may2019.pdf,,
Type of Biometric Collection or Technology,Fingerprints,DHS Policies and Other Resources,ICE Directive 10089.1: Obtaining Required Fingerprints from Noncompliant Individuals (October 2018),https://www.ice.gov/doclib/foia/policy/10089.1_ObtainFingerprintsFromNoncompliantInvidivduals.pdf,,
Type of Biometric Collection or Technology,DNA tests,"Further Information on Capabilities, Uses, and Abuses","The New York Times, His DNA Was Taken After His Arrest at an ICE Protest. Now, He's Suing (May 2026)",https://www.nytimes.com/2026/05/06/nyregion/dna-collection-ice-arrests-lawsuit.html,ITALICS,
Type of Biometric Collection or Technology,DNA tests,"Further Information on Capabilities, Uses, and Abuses","Georgetown Law Center on Privacy and Technology, Raiding the Genome: How the United States Government Is Abusing Its Immigration Powers to Amass DNA for Future Policing (September 2025)",https://www.law.georgetown.edu/privacy-technology-center/publications/raiding-the-genome/,ITALICS,
Type of Biometric Collection or Technology,DNA tests,"Further Information on Capabilities, Uses, and Abuses","Bloomberg, ICE Moves to DNA-Test Families Targeted for Deportation with New Contract (June 2025)",https://www.bloomberg.com/news/articles/2025-06-04/trump-administration-s-ice-wants-25-million-to-dna-test-immigrant-families,,
Type of Biometric Collection or Technology,DNA tests,DHS Policies and Other Resources,CBP Directive 2410-001A: CBP Implementation of the DNA Fingerprint Act of 2005 (February 2025),https://www.cbp.gov/sites/default/files/2025-07/cbp_directive_3410-001a_redacted.pdf,,
Type of Biometric Collection or Technology,DNA tests,DHS Policies and Other Resources,DHS PIA-080: CBP and ICE DNA Collection (July 2020),https://www.dhs.gov/sites/default/files/publications/privacy-pia-dhs080-detaineedna-october2020.pdf,,
Type of Biometric Collection or Technology,DNA tests,DHS Policies and Other Resources,ICE PIA-050: Rapid DNA Operational Use (June 2019),https://www.dhs.gov/sites/default/files/publications/privacy-pia-ice-rapiddna-june2019_3.pdf,,
Type of Biometric Collection or Technology,Integrated biometrics,DHS Policies and Other Resources,DHS Memo: DHS Biometrics Expansion for Improved Identification and Encounter Management (May 2017),https://www.dhs.gov/sites/default/files/2022-06/dhs_biometrics_expansion-508.pdf,,
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,"Further Information on Capabilities, Uses, and Abuses","Electronic Privacy Information Center, EPIC Comments to USCIS re: Collection and Use of Biometrics by U.S. Citizenship and Immigration Services (January 2026)",https://epic.org/documents/epic-comments-to-uscis-re-collection-and-use-of-biometrics-by-u-s-citizenship-and-immigration-services-jan-2-2026/,,
