Category,Surveillance Type,link type,label,url,italic,group
Type of Biometric Collection or Technology,Fingerprints,"Further Information on Capabilities, Uses, and Abuses","Mijente and Just Futures Law, ICE's EDDIE Program: How ICE Uses Biometric Scanner Tech to Ramp Up Raids (November 2020)",https://static1.squarespace.com/static/62c3198c117dd661bd99eb3a/t/62deb7755f18b67d47071642/1658763132592/EDDIE-report-PDF-revised-final.pdf,ITALICS,
Type of Biometric Collection or Technology,IDENT & HART Databases,"Further Information on Capabilities, Uses, and Abuses","Mijente, Just Futures Law, and Immigrant Defense Project, HART Attack: How DHS's Massive Biometrics Database Will Supercharge Surveillance and Threaten Rights (May 2022)",https://static1.squarespace.com/static/62c3198c117dd661bd99eb3a/t/635c0b2b52d90a16d78ba2dd/1666976559030/HART+Attack.pdf,ITALICS,
Type of Biometric Collection or Technology,IDENT & HART Databases,"Further Information on Capabilities, Uses, and Abuses","Electronic Frontier Foundation, HART: Homeland Security's Massive New Database Will Include Face Recognition, DNA, and Peoples Non-Obvious Relationships (June 2018)",https://www.eff.org/deeplinks/2018/06/hart-homeland-securitys-massive-new-database-will-include-face-recognition-dna-and,ITALICS,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","Electronic Privacy Information Center, DHS's Data Reservoir: ICE and CBP's Capture and Circulation of Location Information (August 2022)",https://epic.org/wp-content/uploads/2022/08/DHS-Data-Reservoir-Report-Aug2022.pdf,ITALICS,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","Electronic Frontier Federation, Gotta Catch Em All: Understanding How IMSI-Catchers Exploit Cell Networks (June 2019)",https://www.eff.org/wp/gotta-catch-em-all-understanding-how-imsi-catchers-exploit-cell-networks,ITALICS,
Type of Phone Access Tools,Remote hacking,"Further Information on Capabilities, Uses, and Abuses","The Citizen Lab, Virtue or Vice? A First Look at Paragon's Proliferating Spyware Operations (Mar 2025)",https://citizenlab.ca/research/a-first-look-at-paragons-proliferating-spyware-operations/,ITALICS,
Type of Data Analysis Tool,ERO Data Analysis System,"Further Information on Capabilities, Uses, and Abuses","Electronic Privacy Information Center, DHS's Data Reservoir: ICE and CBP's Capture and Circulation of Location Information, page 24 (August 2022)",https://epic.org/wp-content/uploads/2022/08/DHS-Data-Reservoir-Report-Aug2022.pdf,ITALICS,
Type of Data Analysis Tool,Other data analysis,"Further Information on Capabilities, Uses, and Abuses","Just Futures Law and Mijente, Automating Deportation: The Artificial Intelligence Behind the Department of Homeland Security's Immigration Enforcement Regime (June 2024)",https://mijente.net/wp-content/uploads/2024/06/Automating-Deportation.pdf,ITALICS,
